"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 2",1,0,2496135,1,2,"__amd_rocclr_fillBufferAligned",1,121610267672270,121610267680150,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,19,2,"__amd_rocclr_fillBufferAligned",19,121610267942817,121610267946313,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,18,2,"__amd_rocclr_fillBufferAligned",18,121610267967028,121610267968425,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,17,2,"__amd_rocclr_fillBufferAligned",17,121610267973022,121610267985237,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,16,2,"__amd_rocclr_fillBufferAligned",16,121610268138312,121610268144739,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,15,2,"__amd_rocclr_fillBufferAligned",15,121610268161574,121610268164055,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,14,2,"__amd_rocclr_fillBufferAligned",14,121610268178096,121610268180026,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,13,2,"__amd_rocclr_fillBufferAligned",13,121610268190416,121610268194693,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,12,2,"__amd_rocclr_fillBufferAligned",12,121610268205152,121610268210543,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,11,2,"__amd_rocclr_fillBufferAligned",11,121610268221322,121610268225542,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,10,2,"__amd_rocclr_fillBufferAligned",10,121610268236078,121610268240660,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,9,2,"__amd_rocclr_fillBufferAligned",9,121610268252034,121610268256019,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,8,2,"__amd_rocclr_fillBufferAligned",8,121610268265933,121610268271058,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,7,2,"__amd_rocclr_fillBufferAligned",7,121610268284740,121610268286036,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,6,2,"__amd_rocclr_fillBufferAligned",6,121610268297749,121610268300574,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,5,2,"__amd_rocclr_fillBufferAligned",5,121610268315306,121610268315833,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,4,2,"__amd_rocclr_fillBufferAligned",4,121610268326128,121610268331051,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,3,2,"__amd_rocclr_fillBufferAligned",3,121610268341669,121610268345809,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,2,2,"__amd_rocclr_fillBufferAligned",2,121610268354330,121610268360778,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,20,2,"__amd_rocclr_fillBufferAligned",20,121610268376362,121610268379303,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,30,2,"__amd_rocclr_fillBufferAligned",30,121610268392000,121610268394391,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,29,2,"__amd_rocclr_fillBufferAligned",29,121610268405882,121610268410592,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,28,2,"__amd_rocclr_fillBufferAligned",28,121610268420915,121610268426632,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,27,2,"__amd_rocclr_fillBufferAligned",27,121610268445598,121610268449335,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,26,2,"__amd_rocclr_fillBufferAligned",26,121610268460055,121610268465486,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,25,2,"__amd_rocclr_fillBufferAligned",25,121610268478964,121610268480574,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,24,2,"__amd_rocclr_fillBufferAligned",24,121610268493696,121610268495312,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,23,2,"__amd_rocclr_fillBufferAligned",23,121610268487866,121610268511924,0,0,16,0,128,256,1,1,256,1,1
"KERNEL_DISPATCH","Agent 2",1,0,2496135,22,2,"__amd_rocclr_fillBufferAligned",22,121610268532368,121610268535128,0,0,16,0,128,256,1,1,256,1,1
